,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_013,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bnu_999,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35011600010001,597,42.8,10347.1,143.0,169,5.0,20.0,68.0,47.0,10.0,8.0,5.0,,,,,,,,,165.0,,,,,,24,,,,,,,8.0,,,,,,,,,,,,5.0,,,,,,,,23.0,,,,,,,,17.0,,14.0,,6.0,
35011600010002,884,42.9,3981.5,211.8,230,27.0,36.0,76.0,41.0,23.0,11.0,9.0,,,,,,,,,229.0,,,,,,93,,,,,,,26.0,,32.0,,,,,,,,,,18.0,,,,,,,,52.0,,65.0,5.0,,,,44.0,13.0,,11.0,6.0,28.0,
35011600010003,889,28.6,6742.7,276.5,82,8.0,9.0,22.0,10.0,6.0,,10.0,,,6.0,,,,,,82.0,,,,,,30,,,,,,,6.0,,5.0,,,,,,,,,,6.0,,,,,,,12.0,13.0,,12.0,5.0,,,,,,151.0,189.0,,17.0,
35011600020001,556,43.6,721.5,132.1,174,11.0,5.0,25.0,28.0,88.0,6.0,9.0,,,,,,,,,101.0,70.0,,,,,51,,,8.0,,,8.0,18.0,,5.0,,,,,,,,,,,,,,49.0,,,58.0,56.0,13.0,13.0,,,,,,45.0,,,,,
35011600020002,550,45.7,136.9,208.8,217,13.0,16.0,20.0,24.0,43.0,78.0,18.0,,,,,,,,,119.0,70.0,27.0,,,,22,,,,,,,,,,,,,,,,,,,8.0,,,,,8.0,,,12.0,,7.0,,,,,,,,19.0,43.0,10.0,
35011600020003,445,54.5,117.3,485.7,138,26.0,11.0,17.0,15.0,16.0,19.0,10.0,,,10.0,,,,,10.0,127.0,,,,6.0,,35,,,5.0,,,,11.0,,,,,,,,,,6.0,,6.0,,,,21.0,,,19.0,26.0,,,,,,22.0,,,26.0,73.0,,9.0,
35011600020004,704,43.7,5274.2,171.3,227,20.0,23.0,40.0,34.0,51.0,45.0,7.0,,,,,,,,,171.0,24.0,26.0,,,,46,,,,,,,13.0,,,,,,,,,7.0,,,15.0,,,,6.0,,,,25.0,,5.0,,,18.0,,,,13.0,,,17.0,
35011600020005,666,43.3,1460.1,157.6,241,,12.0,18.0,25.0,144.0,6.0,27.0,,,,,,,,,106.0,109.0,24.0,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,19.0,,5.0,
35011600020101,784,39.7,81776.2,73.2,251,,,,,251.0,,,,,,,,,,,,251.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35011600020102,587,42.6,62517.4,164.9,178,,,,,178.0,,,,,,,,,,,,178.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
35011600020301,872,36.6,83820.3,60.1,277,,,,,277.0,,,,,,,,,,,,277.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011600020401,592,36.3,37411.7,53.8,205,,,,,204.0,,,,,,,,,,,,204.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011600020801,441,38.4,65406.5,59.3,159,,,,,159.0,,,,,,,,,,,,159.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011600030001,462,52.6,78.2,508.0,137,8.0,25.0,30.0,21.0,18.0,10.0,8.0,5.0,,,,5.0,,,,137.0,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,,,,,,,,,,32.0,,7.0,
35011610010001,738,39.0,14879.2,232.7,153,5.0,14.0,47.0,23.0,8.0,10.0,14.0,6.0,7.0,11.0,7.0,,,,,152.0,,,,,,32,,,7.0,,,,7.0,,,,,,,,,,,,10.0,,,,33.0,,,,17.0,,6.0,,,,,,,,18.0,,12.0,
35011610010002,643,42.6,545.8,162.9,214,,7.0,27.0,37.0,108.0,13.0,14.0,,,,,,,,,107.0,97.0,9.0,,,,47,,,,,,,11.0,,5.0,,,5.0,,,,,,,13.0,,,,27.0,,,,20.0,,7.0,,,8.0,,,,,30.0,8.0,18.0,
35011610010003,750,41.9,12134.1,106.0,242,5.0,15.0,50.0,132.0,13.0,6.0,,,,,,8.0,,,,144.0,80.0,15.0,,,,51,,,5.0,,,7.0,16.0,,6.0,,,,,,,,,,11.0,,,,10.0,,,98.0,29.0,,12.0,,,,,,,,6.0,6.0,15.0,
35011610010004,758,44.1,4981.5,178.2,216,27.0,29.0,57.0,43.0,14.0,25.0,10.0,,,,,,,,,215.0,,,,,,40,,,7.0,,,,14.0,,5.0,,,,,,,,,,8.0,,,,11.0,,,,19.0,,7.0,,,,,,,65.0,17.0,,8.0,
35011610010005,550,44.3,10858.8,168.7,162,19.0,20.0,25.0,32.0,18.0,14.0,14.0,8.0,5.0,,,,,,,160.0,,,,,,49,,,6.0,,,,13.0,,6.0,,,,,,,,,,14.0,,,,8.0,,,,24.0,,10.0,,,,,,9.0,,9.0,,18.0,
35011610010006,174,43.7,153.1,157.1,59,,8.0,14.0,13.0,11.0,,,,,,,,,,,58.0,,,,,,24,,,,,,,9.0,,5.0,,,,,,,,,,,,,,,,,,19.0,,9.0,,,,,,,,17.0,,,
35011610010007,673,43.0,10478.1,144.3,257,,11.0,21.0,202.0,,9.0,5.0,,,,,,,,,73.0,183.0,,,,,43,,,,,,,11.0,,6.0,,,,,,,,,,9.0,,,,8.0,,,,20.0,9.0,10.0,6.0,,,,,,,30.0,,11.0,
35011610010008,822,34.2,61818.3,37.8,406,,,,,20.0,244.0,142.0,,,,,,,,,,405.0,,,,,17,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,7.0,,,9.0,,,,,,,,
35011610010009,623,42.5,7483.8,141.9,203,5.0,22.0,26.0,136.0,,,,,,,,,,,,79.0,93.0,29.0,,,,32,,,,,,,11.0,,,,,,,,,,,,7.0,,,,9.0,,,,18.0,,12.0,,,,,,,68.0,48.0,,12.0,
35011610010010,791,42.0,8685.3,138.7,293,,6.0,6.0,274.0,6.0,,,,,,,,,,,42.0,197.0,54.0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011610010011,568,37.5,43305.7,56.0,196,,,,,195.0,,,,,,,,,,,,194.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011610010012,918,44.6,21753.3,231.2,336,,,152.0,143.0,13.0,8.0,9.0,,,,,,,,,109.0,227.0,,,,,17,,,,,,,5.0,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,
35011610010501,719,36.5,49081.8,51.5,260,,,,132.0,128.0,,,,,,,,,,,,259.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011610010601,735,34.0,90630.8,28.2,221,,,,,,221.0,,,,,,,,,,,221.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
35011610010901,539,37.0,99403.9,55.6,192,,,,,192.0,,,,,,,,,,,,192.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
35011610011001,696,35.2,42468.5,29.5,231,,,,,,,231.0,,,,,,,,,,231.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011610011002,549,36.1,34512.3,34.9,192,,,,,,,192.0,,,,,,,,,,192.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011610011101,679,39.2,74863.3,89.8,242,,,,,242.0,,,,,,,,,,,,242.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011620010001,257,42.0,5954.3,131.0,57,,,,18.0,28.0,5.0,,,,,,,,,,54.0,,,,,,71,,,,,,,18.0,,14.0,,,,,,,5.0,,,15.0,,,,31.0,,,6.0,31.0,,24.0,,14.0,,5.0,,,10.0,122.0,5.0,20.0,
35011620010002,609,39.2,8283.2,98.8,203,,,35.0,7.0,143.0,,,,,13.0,,,,,13.0,53.0,135.0,,,,,16,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,17.0,6.0,,20.0,
35011620010003,981,37.8,11880.3,63.8,182,,,59.0,41.0,65.0,11.0,5.0,,,,,,,,,145.0,,34.0,,,,81,,,5.0,,,6.0,17.0,,12.0,,,,,,,,,,29.0,,,,9.0,,,11.0,38.0,,27.0,,,,16.0,,,89.0,24.0,,39.0,
35011620010004,367,40.1,4417.3,116.0,83,,5.0,15.0,35.0,8.0,10.0,7.0,,,,,,,,,54.0,,24.0,5.0,,,101,,,,,,,40.0,,18.0,,,,,,,,7.0,7.0,18.0,,,,,,,5.0,123.0,,83.0,,9.0,5.0,,,,,37.0,14.0,45.0,
35011620010005,496,37.0,6281.3,72.3,128,,,5.0,67.0,,,50.0,,,,,,,,,43.0,81.0,,,,,53,,,,,,6.0,9.0,,12.0,,,,,,,,,6.0,7.0,,,,,,,42.0,31.0,,36.0,83.0,,,,16.0,11.0,14.0,260.0,10.0,22.0,
35011620010006,229,58.1,1662.7,972.7,27,,,,,8.0,8.0,6.0,,,,,,,,,18.0,,,9.0,6.0,,280,,,,,,,43.0,,163.0,,,,6.0,,,9.0,12.0,12.0,21.0,,,,10.0,,,400.0,144.0,,869.0,,37.0,,33.0,,39.0,37.0,156.0,20.0,79.0,
35011620010007,522,33.3,9100.3,62.3,70,5.0,5.0,6.0,7.0,16.0,,19.0,,,,,,,,,54.0,,12.0,,,,39,,,,,,,12.0,,8.0,,,,,,,,,,11.0,,,,,,,8.0,33.0,,38.0,,5.0,,,,,,1151.0,8.0,45.0,
