,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bnu_999,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35011600010001,485,48.2,8405.9,445.2,157,101.0,28.0,14.0,5.0,,,,,,,,,,,151.0,,,6.0,,,21,,,,,,,8.0,,,,,,,,,,,,5.0,,,,,,,,17.0,,,,,,,,,,,,6.0,
35011600010002,713,45.3,3211.3,374.4,209,143.0,26.0,18.0,5.0,7.0,,,,,,,,,,198.0,,,7.0,,,93,,,,,,,21.0,,39.0,,,,,,,,,6.0,15.0,,,,,,,,32.0,,81.0,,,,10.0,33.0,14.0,,8.0,103.0,26.0,
35011600010003,937,30.2,7106.7,456.3,119,44.0,,,12.0,51.0,,,,,,,,,52.0,66.0,,,,,,31,,,,,,,5.0,,5.0,,,,,,,,,,9.0,,,,,,,10.0,10.0,,10.0,,,,,,,170.0,7.0,,13.0,
35011600020001,489,46.1,634.6,218.9,161,28.0,32.0,88.0,6.0,,,,,,,,,,,93.0,64.0,,,7.0,,56,,,7.0,,,8.0,20.0,,6.0,,,,,,,,,,6.0,,,,53.0,,10.0,84.0,52.0,84.0,13.0,,,,,,46.0,,,,20.0,
35011600020002,472,52.1,117.5,738.9,210,44.0,35.0,105.0,10.0,,,,,,5.0,,,,,125.0,62.0,20.0,,7.0,,28,,,,,,,5.0,,7.0,,,,,,,,,,7.0,,,,9.0,6.0,,,12.0,,15.0,,,,,,,,14.0,26.0,12.0,
35011600020003,488,60.0,128.7,1205.3,139,50.0,13.0,33.0,9.0,17.0,,,,,,5.0,6.0,,15.0,122.0,,,,10.0,,43,,,,,,,15.0,,,,,,,,,,9.0,,,,,,18.0,,,28.0,34.0,,7.0,,,,21.0,,,25.0,117.0,,,
35011600020004,546,47.8,4090.5,295.8,191,76.0,33.0,77.0,,,,,,,,,,,10.0,139.0,23.0,16.0,,7.0,,40,,,,,,,10.0,,,,,,,,,7.0,,,14.0,,,,,,,,20.0,,,,,14.0,,,,12.0,,,19.0,
35011600020005,509,48.7,1115.9,304.5,194,33.0,21.0,115.0,23.0,,,,,,,,,,,69.0,120.0,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,22.0,,6.0,
35011600020101,696,43.5,72597.2,165.8,241,,,241.0,,,,,,,,,,,,,241.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011600020102,497,45.9,52932.1,200.0,167,,,167.0,,,,,,,,,,,,,167.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
