,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_013,ho_yr_014,ho_yr_015,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35011600010001,442,50.3,7660.7,488.9,156,97.0,28.0,15.0,5.0,,,,,,,,,,,,,,151.0,,,5.0,,,23,,,,,,,6.0,,,,,,,,,,,,6.0,,,,,,,14.0,,5.0,,,,,5.0,,,5.0,,6.0,
35011600010002,562,46.4,2531.2,343.6,180,117.0,26.0,16.0,,6.0,,,,,,,,,,,,,171.0,,,7.0,7.0,,97,,,,,,,24.0,,40.0,,,,,,,,,6.0,14.0,,,,,,,43.0,,94.0,,,,5.0,49.0,12.0,,8.0,164.0,20.0,
35011600010003,727,29.6,5514.0,966.7,93,42.0,,,13.0,24.0,,,,,,,,,,,,26.0,64.0,,,,,,29,,,,,,,7.0,,,,,,,,,,,,7.0,,,,,,,22.0,,9.0,,,,,,,101.0,8.0,,12.0,
35011600020001,428,49.1,555.4,328.6,155,24.0,34.0,84.0,5.0,,,,,,,,,,,,,,90.0,61.0,,,7.0,,58,,,9.0,,,6.0,19.0,,12.0,,,,,,,,,,,,,84.0,,,76.0,60.0,73.0,48.0,,,,,,45.0,,,,,
35011600020002,435,54.3,108.3,710.0,194,37.0,29.0,97.0,10.0,,,,,,5.0,,,,,,,,114.0,56.0,20.0,,5.0,,34,,,,,,,5.0,,10.0,,,,,,,,,,9.0,,,13.0,,,6.0,11.0,,23.0,,,,,,6.0,6.0,13.0,14.0,13.0,
35011600020003,497,61.8,131.0,2500.0,138,44.0,14.0,33.0,10.0,12.0,,,,,,5.0,9.0,,,,,14.0,121.0,,,,10.0,,56,,,5.0,,,8.0,19.0,,,,,,,,,,9.0,,5.0,,,46.0,,,71.0,63.0,15.0,9.0,,,,24.0,,,26.0,243.0,,6.0,
35011600020004,555,48.4,4158.0,368.9,187,66.0,33.0,75.0,,,,,,,,,,5.0,,,,9.0,136.0,22.0,16.0,,7.0,,47,,,,,,,12.0,,5.0,,,,,,,9.0,,,13.0,,,7.0,,,,22.0,,12.0,,,14.0,,,,16.0,,,20.0,
35011600020005,462,52.6,1012.9,463.6,198,34.0,25.0,112.0,25.0,,,,,,,,,,,,,5.0,74.0,118.0,,,,,15,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,7.0,19.0,,7.0,
35011600020101,657,45.1,68529.3,211.6,235,,,235.0,,,,,,,,,,,,,,,,235.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35011600020102,456,46.1,48565.5,205.4,168,,,168.0,,,,,,,,,,,,,,,,168.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35011600020301,672,43.2,64595.5,127.5,253,,,253.0,,,,,,,,,,,,,,,,253.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011600020401,422,42.2,26668.4,112.5,173,,,173.0,,,,,,,,,,,,,,,,173.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011600020801,334,45.8,49536.9,167.4,136,,,136.0,,,,,,,,,,,,,,,,136.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011600030001,511,57.9,86.5,1672.7,151,50.0,23.0,29.0,11.0,9.0,,5.0,,,,,,12.0,,,,,150.0,,,,5.0,,14,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,,10.0,,,,,,,,34.0,,6.0,
35011610010001,502,50.8,10121.1,608.3,194,77.0,14.0,7.0,22.0,66.0,,,,,,,,,,,,62.0,129.0,,,,,,37,,,6.0,,,,14.0,,7.0,,,,,,,,,,7.0,,,24.0,,,,28.0,,9.0,,,,,,,,12.0,,8.0,
