,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_013,ho_yr_014,ho_yr_015,ho_yr_016,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35011600010001,427,49.6,7400.7,633.3,155,95.0,27.0,15.0,5.0,,,,,,,,,,,,,,,149.0,,,6.0,,,39,,,,,,,13.0,,,,,,,,,,,,6.0,,,,,,9.0,17.0,,7.0,,,,7.0,,,16.0,,,6.0,
35011600010002,565,45.4,2544.8,415.6,183,116.0,26.0,17.0,,9.0,,,,,,,,,,,,,5.0,171.0,,,7.0,,,111,,,,,,,30.0,,41.0,,,,,,,,,5.0,17.0,,,,,,,46.0,,90.0,,,,5.0,38.0,17.0,,9.0,172.0,26.0,
35011600010003,521,32.2,3951.6,1040.0,94,42.0,,,15.0,23.0,,,,,,,,,,,,,27.0,64.0,,,,,,36,,,,,,,6.0,,8.0,,,,,,,,,,9.0,,,,,,,12.0,,17.0,,,,,,,342.0,8.0,,16.0,
35011600020001,420,49.7,545.0,333.3,153,26.0,32.0,81.0,5.0,,,,,,,,,,,,,,,92.0,59.0,,,,,97,,,8.0,,,19.0,24.0,5.0,26.0,,,5.0,,,,,,,,,,24.0,,31.0,89.0,59.0,62.0,76.0,,,5.0,,,52.0,,,5.0,,
35011600020002,413,55.6,102.8,918.8,198,39.0,30.0,96.0,10.0,,,,,,5.0,,,,,,,,,118.0,56.0,20.0,,,,48,,,5.0,,,,11.0,,10.0,,,,,,,,,,9.0,,,14.0,,,11.0,19.0,,19.0,,,5.0,,,6.0,20.0,,,14.0,
35011600020003,483,63.3,127.3,2540.0,140,44.0,14.0,33.0,10.0,12.0,,,,,,5.0,9.0,,,,,,14.0,123.0,,,,9.0,,72,,,6.0,,,13.0,20.0,5.0,,,,,,,,,11.0,,6.0,,,44.0,,,40.0,48.0,10.0,12.0,,,,22.0,,,29.0,232.0,,7.0,
35011600020004,545,48.1,4083.0,365.1,183,66.0,30.0,74.0,,,,,,,,,,5.0,,,,,9.0,133.0,22.0,15.0,,6.0,,62,,,8.0,,,,17.0,,,,,,,,,10.0,,,13.0,,,9.0,,,6.0,26.0,,9.0,,,14.0,,,,17.0,,,18.0,
35011600020005,434,53.3,951.5,524.1,193,37.0,24.0,107.0,23.0,,,,,,,,,,,,,,,76.0,112.0,,,,,23,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,6.0,6.0,5.0,,,,,,,,,47.0,,9.0,
35011600020101,637,45.6,66443.2,218.5,236,,,236.0,,,,,,,,,,,,,,,,,236.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011600020102,437,47.1,46541.9,217.3,165,,,165.0,,,,,,,,,,,,,,,,,165.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011600020301,646,43.7,62096.3,122.0,251,,,251.0,,,,,,,,,,,,,,,,,251.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011600020401,387,44.5,24456.6,171.1,170,,,170.0,,,,,,,,,,,,,,,,,170.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011600020801,313,48.3,46422.3,245.2,133,,,133.0,,,,,,,,,,,,,,,,,133.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,5.0,,,,,,,,
35011600030001,456,57.9,77.2,1500.0,152,49.0,23.0,29.0,11.0,9.0,,5.0,,,,,,11.0,,,,,,151.0,,,,,,27,,,,,,5.0,7.0,,,,,,,,,,,,,,,5.0,,,17.0,12.0,,10.0,,,,,,,,35.0,,8.0,
35011610010001,440,51.2,8871.1,570.8,176,74.0,14.0,7.0,20.0,53.0,,,,,,,,,,,,,47.0,126.0,,,,,,47,,,7.0,,,,17.0,,6.0,,,,,,,,,,8.0,,,22.0,,,,23.0,,8.0,,,,,,,,12.0,,10.0,
35011610010002,540,49.6,458.4,338.6,213,43.0,23.0,16.0,11.0,,,,112.0,,,,,,,,,,26.0,90.0,95.0,,,,,55,,,6.0,,,,15.0,,7.0,,,,,,,,,,13.0,,,86.0,,,,26.0,,9.0,,,,,,,6.0,23.0,,15.0,
35011610010003,483,52.1,7814.3,461.1,209,78.0,113.0,7.0,,,,,,,,,,,,,,,,114.0,71.0,18.0,6.0,,,68,,,6.0,,,8.0,20.0,,6.0,,,,,,,,,,19.0,,,11.0,,,18.0,30.0,,10.0,,,,,5.0,,,113.0,,28.0,
35011610010004,425,53.3,2793.0,621.7,162,79.0,18.0,45.0,13.0,,,,,,,,,,,,,,,159.0,,,,,,72,,,12.0,,,,26.0,,12.0,,,,,,,,,,10.0,,,22.0,,,12.0,31.0,,19.0,,,,8.0,,19.0,54.0,62.0,,11.0,
35011610010005,428,53.5,8450.2,1272.7,156,67.0,21.0,32.0,17.0,11.0,,,,,,,,,,,,,6.0,143.0,,,7.0,,,59,,,5.0,,,6.0,18.0,,6.0,,,,,,,,,,14.0,,,8.0,,,21.0,19.0,,11.0,,,,,,19.0,,10.0,,18.0,
35011610010006,464,60.2,408.4,837.9,41,14.0,8.0,6.0,,,,,,,,,,,,,,,,41.0,,,,,,29,,,,,,,8.0,,7.0,,,,,,,,,,5.0,,,,,,9.0,14.0,,16.0,,,,,,,,146.0,,5.0,
35011610010007,409,52.3,6367.8,450.0,196,28.0,153.0,9.0,,,,,,,,,,,,,,,,47.0,147.0,,,,,52,,,,,,,20.0,,6.0,,,,,,,,,,12.0,,,,,,10.0,37.0,,8.0,5.0,,,,,,,7.0,,13.0,
35011610010008,542,50.4,40761.0,371.4,354,,,225.0,128.0,,,,,,,,,,,,,,17.0,,335.0,,,,,22,,,,,,,6.0,,,,,,,,,,,,,,,,,,,14.0,,6.0,,,,,,,,,,,
35011610010009,444,52.1,5333.6,538.5,188,51.0,119.0,,,13.0,,,,,,,,,,,,,11.0,63.0,85.0,27.0,,,,53,,,,,,,14.0,,7.0,,,,,,,6.0,5.0,,5.0,,,12.0,,,13.0,15.0,,12.0,,,,,,,104.0,259.0,,5.0,
35011610010010,579,49.9,6357.5,485.3,257,15.0,240.0,,,,,,,,,,,,,,,,,32.0,176.0,48.0,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011610010011,404,47.7,30802.0,270.3,185,,,183.0,,,,,,,,,,,,,,,,,183.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,
