,code,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_ar_001,ho_ar_002,ho_ar_003,ho_ar_004,ho_ar_005,ho_ar_006,ho_ar_007,ho_ar_008,ho_ar_009,ho_ar_999,1970s,1980s,1990s,2000-2004,2005-2009,2010-2014,2015-2020,no_yr_data,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999,do_index,si_index,dong_index,fire_count
0,35011600010001,442,50.3,7660.7,488.9,156,0.0,8.0,8.0,47.0,20.0,36.0,22.0,11.0,0.0,0.0,95.0,27.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,5.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,6.0,0.0,35,11,600,
1,35011600010002,562,46.4,2531.2,343.6,180,0.0,18.0,45.0,48.0,13.0,24.0,15.0,0.0,10.0,0.0,116.0,26.0,17.0,0.0,9.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,7.0,7.0,0.0,97,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,94.0,0.0,0.0,0.0,5.0,49.0,12.0,0.0,8.0,164.0,20.0,0.0,35,11,600,1.0
2,35011600010003,727,29.6,5514.0,966.7,93,0.0,27.0,21.0,17.0,6.0,5.0,6.0,0.0,5.0,0.0,42.0,0.0,0.0,15.0,23.0,0.0,0.0,0.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,8.0,0.0,12.0,0.0,35,11,600,1.0
3,35011600020001,428,49.1,555.4,328.6,155,0.0,5.0,28.0,68.0,20.0,12.0,15.0,5.0,0.0,0.0,26.0,32.0,81.0,5.0,0.0,0.0,0.0,0.0,0.0,90.0,61.0,0.0,0.0,7.0,0.0,58,0.0,0.0,9.0,0.0,0.0,6.0,19.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,76.0,60.0,73.0,48.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,35,11,600,
4,35011600020002,435,54.3,108.3,710.0,194,0.0,11.0,72.0,23.0,13.0,21.0,17.0,16.0,19.0,0.0,39.0,30.0,96.0,10.0,0.0,5.0,0.0,0.0,0.0,114.0,56.0,20.0,0.0,5.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,0.0,0.0,6.0,11.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,13.0,14.0,13.0,0.0,35,11,600,1.0
5,35011600020003,497,61.8,131.0,2500.0,138,0.0,10.0,20.0,44.0,29.0,20.0,5.0,5.0,5.0,0.0,44.0,14.0,33.0,10.0,12.0,0.0,14.0,0.0,14.0,121.0,0.0,0.0,0.0,10.0,0.0,56,0.0,0.0,5.0,0.0,0.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,46.0,0.0,0.0,71.0,63.0,15.0,9.0,0.0,0.0,0.0,24.0,0.0,0.0,26.0,243.0,0.0,6.0,0.0,35,11,600,2.0
6,35011600020004,555,48.4,4158.0,368.9,187,0.0,14.0,57.0,67.0,16.0,15.0,8.0,0.0,7.0,0.0,66.0,30.0,74.0,0.0,0.0,0.0,5.0,0.0,9.0,136.0,22.0,16.0,0.0,7.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,22.0,0.0,12.0,0.0,0.0,14.0,0.0,0.0,0.0,16.0,0.0,0.0,20.0,0.0,35,11,600,
7,35011600020005,462,52.6,1012.9,463.6,198,0.0,11.0,121.0,39.0,9.0,9.0,0.0,0.0,0.0,0.0,37.0,24.0,107.0,23.0,0.0,0.0,0.0,0.0,5.0,74.0,118.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,19.0,0.0,7.0,0.0,35,11,600,
8,35011600020101,657,45.1,68529.3,211.6,235,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,35,11,600,
9,35011600020102,456,46.1,48565.5,205.4,168,0.0,0.0,0.0,29.0,0.0,29.0,86.0,24.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,35,11,600,
10,35011600020301,672,43.2,64595.5,127.5,253,0.0,0.0,152.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,11,600,
11,35011600020401,422,42.2,26668.4,112.5,173,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,11,600,
12,35011600020801,334,45.8,49536.9,167.4,136,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,11,600,
